Text,Classificacao
���⛪ @ Catedral de Santo Antônio - Governador Valadares/MG https://t.co/JSbKamIqUJ,Neutro
"� @ Governador Valadares, Minas Gerais https://t.co/B3ThIDJCSf",Neutro
"�� @ Governador Valadares, Minas Gerais https://t.co/dPkgzVR2Qw",Neutro
��� https://t.co/BnDsO34qK0,Neutro
��� PSOL vai questionar aumento de vereadores e prefeito de BH na Justiça - Politica - Estado de Minas https://t.co/DMg7BGsek5,Negativo
" bom é bandido morto"" Deputado Cabo Júlio é condenado e fica inelegível por 10 anos - Politica - Estado de Minas https://t.co/3GfAqvrFHS",Neutro
"..E 25% dos mineiros dizem não torcer para time nenhum,mesmo dentro de um estado com Atlético-MG e Cruzeiro. Pq?.."" https://t.co/fN5evlLQsR",Neutro
"A gigantesca barba do mal"" em destaque no caderno Cultura do Estado de Minas. https://t.co/PxNurIkTlw",Neutro
"BB e governo de Minas travam disputa sobre depósitos judiciais"" https://t.co/CnMu2A2Qo5",Negativo
"com vcs bh fica pequena!"" Belo Horizonte (pron. [bɛloɾiˈzõntʃi][10]) é a capital do estado de MG, com uma área de aproximadamente 331 km²",Neutro
"Daí a gente visita governador valadares"" ""Que lugar eh esse mãe?"" ""MG, a gente tem uns parente la""  MANO onde q eu NÃO tenho parente",Neutro
"É bonita e é bonita...""  #latergram #ibituruna #home @ Governador Valadares, Minas Gerais https://t.co/y12TtNqpnH",Neutro
"erro desconhecido"" é mato! Aliás, é da secretaria estadual de fazenda que tá assim... MG não precisa de dinheiro não, Governador?",Negativo
"La La Land: Cantando Estações"" arrasa no Globo de Ouro - Estado de Minas https://t.co/aQ0NG1bp5f https://t.co/aY3qlrVnTE",Neutro
"La La Land: Cantando Estações"" arrasa no Globo de Ouro - Estado de Minas https://t.co/qRI9DCiicc",Neutro
"Los abusos, aun en el estado más sólido, son minas sordas que tarde o temprano estallan"" Joseph Sanial-Dubay",Neutro
"Mesmo sem muito dinheiro no caixa o governo de Minas Gerais compra 2 (DOIS) helicópteros."" Dois... Helicópteros... Minas Gerais... #2017 s1",Negativo
"Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/1MqOJo7Nnf",Neutro
"Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/kA09mEn4xN",Neutro
"Modelo de segurança será o nosso legado"", diz Cláudio Beato - Politica - Estado de Minas https://t.co/S97Khxldiu",Neutro
"O governo de Minas Gerais não comentou o assunto. ""  https://t.co/SNYMRfQ737",Neutro
"O governo federal publicou no dia 27 de dezembro de 2016, a Medida Provisória 764/16 que permite a diferenciação... https://t.co/0DlDpZ9WGz",Neutro
"Polícia Federal acaba de divulgar que encontrou provas no apartamento do Lula, mas só até a 4ª série."" Jornal Estado de Minas",Neutro
"Praia da Estação"" lota neste sábado de verão em BH - Gerais - Estado de Minas https://t.co/DpG3CNfZBb",Neutro
"Representando mais uma ferramenta de monitoramento da educação da rede estadual em Minas, a Secretaria de Estado... https://t.co/brsfBqHXlQ",Neutro
"uso de aeronave pertencente ao  Estado de MG, em domingo, p/ fins pessoais,  em claro desvio de finalidade"" - https://t.co/WEfv5iLyju",Negativo
"vou postar umas curiosidades sobre o corpo humano""  *o Japão é menor que o estado de minas gerais* ????¿¿¿.?¿",Neutro
"#ACORDAMINAS!!!  O governador Fernando Pimentel, depois de ser flagrado usando um helicóptero do Estado de MG... https://t.co/bedW4w4jij",Neutro
#ACORDAMINAS!!!!  O povo mineiro tem que da um pé na bunda  desse  canalha... https://t.co/ZKZNVmyXbg,Neutro
#Alerta - Nome da CEEE é utilizado em golpe no Estado. https://t.co/i5ndsWhXR4 https://t.co/yaEM6s3Z2f,Negativo
#beta #betalab #mg Afiliada da Globo: Apresentador no AM é demitido após criticar governador… https://t.co/hlH8ITxXig,Neutro
#beta #betalab #mg Caos nos presídios: AM pede apoio à União seis dias após massacre https://t.co/GRv0HkrX3T… https://t.co/YJy2RcSfWZ,Neutro
#beta #betalab #mg Caos nos presídios: Temer e Cármen Lúcia se reúnem para debater crise https://t.co/e34RNvtU7v… https://t.co/8xKwPTOv4C,Neutro
#beta #betalab #mg Crise carcerária: Governo de Roraima pede Força Nacional a Temer https://t.co/wLslS1T6ZI… https://t.co/NK4c5IhNUg,Neutro
#beta #betalab #mg Crise carcerária: Secretário de SP diz haver guerra de facções no país https://t.co/RSf2Tk1VmX… https://t.co/Sonel0f8Xq,Neutro
#beta #betalab #mg Crise política no DF se agrava: Rollemberg exonera vice-governador de cargo… https://t.co/idJfAELeW4 #timbeta #rt #brasil,Neutro
